match_id,players_in_chat,percent_players_in_chat
399,4,40.0
400,5,50.0
401,3,30.0
402,6,60.0
403,6,60.0
404,5,50.0
405,7,70.0
406,7,70.0
407,7,70.0
408,5,50.0
409,7,70.0
410,5,50.0
411,8,80.0
412,5,50.0
413,8,80.0
414,7,70.0
415,8,80.0
416,5,50.0
417,6,60.0
418,7,70.0
419,5,50.0
420,9,90.0
421,9,90.0
422,6,60.0
423,6,60.0
424,8,80.0
425,8,80.0
426,9,90.0
427,5,50.0
428,5,50.0
429,5,50.0
430,7,70.0
431,6,60.0
432,8,80.0
433,7,70.0
434,8,80.0
435,6,60.0
436,9,90.0
437,8,80.0
438,1,10.0
439,9,90.0
440,10,100.0
441,7,70.0
442,7,70.0
443,3,30.0
444,9,90.0
445,8,80.0
446,8,80.0
447,8,80.0
448,5,50.0
449,7,70.0
450,6,60.0
451,7,70.0
452,4,40.0
453,5,50.0
454,9,90.0
455,9,90.0
456,8,80.0
457,4,40.0
458,7,70.0
459,7,70.0
460,5,50.0
461,5,50.0
462,8,80.0
463,9,90.0
464,8,80.0
465,8,80.0
466,1,10.0
467,5,50.0
468,9,90.0
469,8,80.0
470,7,70.0
471,1,10.0
472,5,50.0
473,7,70.0
474,8,80.0
475,8,80.0
476,7,70.0
477,7,70.0
478,7,70.0
479,7,70.0
480,6,60.0
481,6,60.0
482,8,80.0
483,2,20.0
484,7,70.0
485,7,70.0
486,7,70.0
487,4,40.0
488,7,70.0
489,7,70.0
490,10,100.0
491,9,90.0
492,5,50.0
493,10,100.0
494,6,60.0
495,6,60.0
496,9,90.0
497,10,100.0
498,9,90.0
499,7,70.0
500,6,60.0
501,6,60.0
502,6,60.0
503,10,100.0
504,6,60.0
505,6,60.0
506,7,70.0
507,5,50.0
508,4,40.0
509,2,20.0
510,5,50.0
511,4,40.0
512,7,70.0
513,10,100.0
514,8,80.0
515,9,90.0
516,5,50.0
517,6,60.0
518,4,40.0
519,5,50.0
520,6,60.0
521,10,100.0
522,7,70.0
523,3,30.0
524,9,90.0
525,6,60.0
526,7,70.0
527,10,100.0
528,7,70.0
529,5,50.0
530,9,90.0
531,9,90.0
532,8,80.0
533,4,40.0
534,2,20.0
535,7,70.0
536,8,80.0
537,8,80.0
538,8,80.0
539,8,80.0
540,7,70.0
541,6,60.0
542,6,60.0
543,3,30.0
544,7,70.0
545,8,80.0
546,10,100.0
547,7,70.0
548,6,60.0
549,9,90.0
550,5,50.0
551,8,80.0
552,7,70.0
553,3,30.0
554,6,60.0
555,5,50.0
556,5,50.0
557,5,50.0
558,9,90.0
559,4,40.0
560,7,70.0
561,5,50.0
562,3,30.0
563,8,80.0
564,3,30.0
565,5,50.0
566,8,80.0
567,5,50.0
568,6,60.0
569,7,70.0
570,8,80.0
571,7,70.0
572,8,80.0
573,3,30.0
574,8,80.0
575,6,60.0
576,9,90.0
577,7,70.0
578,4,40.0
579,5,50.0
580,6,60.0
581,6,60.0
582,10,100.0
583,8,80.0
584,7,70.0
585,4,40.0
586,8,80.0
587,5,50.0
588,6,60.0
589,4,40.0
590,7,70.0
591,6,60.0
592,8,80.0
593,10,100.0
594,6,60.0
595,9,90.0
596,9,90.0
597,3,30.0
598,5,50.0
599,9,90.0
600,7,70.0
601,5,50.0
602,5,50.0
603,6,60.0
604,5,50.0
605,9,90.0
606,9,90.0
607,8,80.0
608,5,50.0
609,5,50.0
610,2,20.0
611,8,80.0
612,5,50.0
613,6,60.0
614,4,40.0
615,7,70.0
616,8,80.0
617,8,80.0
618,8,80.0
619,5,50.0
620,6,60.0
621,7,70.0
622,7,70.0
623,6,60.0
624,2,20.0
625,8,80.0
626,4,40.0
627,6,60.0
628,8,80.0
629,9,90.0
630,5,50.0
631,6,60.0
632,6,60.0
633,7,70.0
634,5,50.0
635,6,60.0
636,5,50.0
637,8,80.0
638,5,50.0
639,4,40.0
640,4,40.0
641,9,90.0
642,9,90.0
643,7,70.0
644,7,70.0
645,7,70.0
646,3,30.0
647,9,90.0
648,7,70.0
650,8,80.0
651,5,50.0
652,7,70.0
653,5,50.0
654,8,80.0
655,9,90.0
656,10,100.0
657,4,40.0
658,3,30.0
659,1,10.0
660,7,70.0
661,2,20.0
662,6,60.0
663,6,60.0
664,7,70.0
665,7,70.0
666,8,80.0
667,5,50.0
668,9,90.0
669,7,70.0
670,5,50.0
671,8,80.0
672,3,30.0
673,3,30.0
674,6,60.0
675,7,70.0
676,7,70.0
677,8,80.0
678,8,80.0
679,5,50.0
680,7,70.0
681,5,50.0
682,4,40.0
683,4,40.0
684,5,50.0
685,6,60.0
686,9,90.0
687,5,50.0
688,9,90.0
689,3,30.0
690,7,70.0
691,6,60.0
692,8,80.0
693,8,80.0
694,6,60.0
695,7,70.0
696,7,70.0
697,7,70.0
698,7,70.0
699,7,70.0
700,9,90.0
701,7,70.0
702,7,70.0
703,5,50.0
704,6,60.0
705,7,70.0
706,8,80.0
707,10,100.0
708,3,30.0
709,8,80.0
710,7,70.0
711,8,80.0
712,7,70.0
713,7,70.0
714,8,80.0
715,10,100.0
716,3,30.0
717,4,40.0
718,9,90.0
719,5,50.0
720,7,70.0
721,7,70.0
722,7,70.0
723,4,40.0
724,8,80.0
725,4,40.0
726,3,30.0
727,7,70.0
728,2,20.0
729,5,50.0
730,6,60.0
731,7,70.0
732,4,40.0
733,5,50.0
734,5,50.0
735,4,40.0
736,5,50.0
737,8,80.0
738,1,10.0
739,7,70.0
740,5,50.0
741,3,30.0
742,8,80.0
743,5,50.0
744,5,50.0
745,8,80.0
746,4,40.0
747,9,90.0
748,8,80.0
749,7,70.0
751,8,80.0
752,8,80.0
753,2,20.0
754,6,60.0
755,8,80.0
756,7,70.0
757,10,100.0
758,6,60.0
759,2,20.0
760,9,90.0
761,4,40.0
762,6,60.0
763,8,80.0
764,8,80.0
765,10,100.0
766,7,70.0
767,6,60.0
768,7,70.0
769,9,90.0
770,6,60.0
771,4,40.0
772,7,70.0
773,10,100.0
774,9,90.0
775,5,50.0
776,2,20.0
777,5,50.0
778,5,50.0
779,6,60.0
780,6,60.0
781,9,90.0
782,8,80.0
783,8,80.0
784,7,70.0
785,3,30.0
786,5,50.0
787,5,50.0
788,7,70.0
789,4,40.0
790,6,60.0
791,5,50.0
792,7,70.0
793,4,40.0
794,5,50.0
795,4,40.0
796,6,60.0
797,7,70.0
798,2,20.0
799,6,60.0
800,5,50.0
801,7,70.0
802,8,80.0
803,7,70.0
804,3,30.0
805,10,100.0
806,3,30.0
807,4,40.0
808,8,80.0
809,8,80.0
810,7,70.0
811,7,70.0
813,9,90.0
814,1,10.0
815,4,40.0
816,5,50.0
817,8,80.0
818,5,50.0
819,10,100.0
820,6,60.0
821,9,90.0
822,7,70.0
823,7,70.0
824,4,40.0
825,5,50.0
826,6,60.0
827,7,70.0
828,5,50.0
829,8,80.0
830,4,40.0
831,7,70.0
832,8,80.0
833,8,80.0
834,7,70.0
835,6,60.0
836,2,20.0
837,8,80.0
838,5,50.0
839,6,60.0
840,8,80.0
841,5,50.0
842,7,70.0
843,3,30.0
844,4,40.0
845,9,90.0
846,5,50.0
847,5,50.0
848,5,50.0
849,5,50.0
850,6,60.0
851,7,70.0
852,7,70.0
853,6,60.0
854,5,50.0
855,4,40.0
856,7,70.0
857,6,60.0
858,10,100.0
859,6,60.0
860,10,100.0
861,7,70.0
862,3,30.0
863,6,60.0
864,7,70.0
865,4,40.0
866,7,70.0
867,6,60.0
868,3,30.0
869,6,60.0
870,7,70.0
871,7,70.0
872,7,70.0
873,9,90.0
874,9,90.0
875,9,90.0
876,7,70.0
877,8,80.0
878,8,80.0
879,3,30.0
880,4,40.0
881,9,90.0
882,4,40.0
883,6,60.0
884,4,40.0
885,5,50.0
886,8,80.0
887,8,80.0
888,7,70.0
889,7,70.0
890,10,100.0
891,10,100.0
892,7,70.0
893,6,60.0
894,6,60.0
895,5,50.0
896,8,80.0
897,5,50.0
898,5,50.0
899,7,70.0
900,6,60.0
901,6,60.0
902,7,70.0
903,8,80.0
904,3,30.0
905,6,60.0
906,5,50.0
907,3,30.0
908,5,50.0
909,8,80.0
910,7,70.0
911,8,80.0
912,6,60.0
913,6,60.0
914,8,80.0
915,7,70.0
916,5,50.0
917,6,60.0
918,7,70.0
919,2,20.0
920,4,40.0
921,5,50.0
922,7,70.0
923,3,30.0
924,9,90.0
925,4,40.0
926,9,90.0
927,8,80.0
928,5,50.0
929,4,40.0
930,5,50.0
931,7,70.0
932,3,30.0
933,5,50.0
934,4,40.0
935,6,60.0
936,7,70.0
937,3,30.0
938,7,70.0
939,7,70.0
940,7,70.0
941,5,50.0
942,4,40.0
943,6,60.0
944,9,90.0
945,7,70.0
946,7,70.0
